TempID,SiteID,Survey_Ref,Modern Name,Ancient Name,Local-Easting,Local-Northing,Easting-Long,Northing-Lat,SiteSize,PopulationEstimate,Regions-3,Regions-2,Region,GeologicType,SiteType,SiteFunction,BurialType,Reference,Period,Rainfall,Temperature,Elevation,Slope,Aspect,Cattle/km2,Goats/km2,Pigs/km2,Sheep/km2
524,1109,ASI77-107,Nirit (3),,198685,672796,34.98426688,32.14840063,,,Refugia,Samaria,Samaria Hills,,Stratified,Agro-Pastoral,Tomb,Beit-Arieh and Ayalon 2014,Chalcolithic (undifferentiated),563,66.78500366,107,6.50046587,346.7989197,78.255,1.86427,21.3461,19.449
525,1115,ASI78-3,Khirbet Kafr Hatta,,196385,669896,34.9599574,32.1222042,,,Refugia,Coastal Plain,Samaria Hills,,Stratified,Unknown,No Burials,Kochavi and Beit-Arieh 1994,Chalcolithic (undifferentiated),555,67.08499908,56,1.999760509,281.3099365,78.6907,1.91463,23.1126,23.3757
526,1116,ASI78-4,Khirbet Kafr Hatta,,196185,669896,34.95783807,32.12220009,0.02,5,Refugia,Coastal Plain,Samaria Hills,,Surface,Unknown,No Burials,Kochavi and Beit-Arieh 1994,Chalcolithic (undifferentiated),550,67.20500183,50,2.104595184,296.5650635,117.814,2.60706,44.5513,24.12
527,1119,ASI78-38,Kafr Qasim,,196235,668596,34.95839934,32.11047792,,,Refugia,Coastal Plain,Samaria Hills,,Surface,Unknown,Tomb,Kochavi and Beit-Arieh 1994,Chalcolithic (undifferentiated),556,67.01000214,55,1.195029736,293.1985779,74.5659,1.75217,23.0182,19.3719
528,1120,ASI78-61,Giv'at Ha-Shelosha,,192785,667695,34.92187073,32.10227658,,,Refugia,Coastal Plain,Samaria Hills,,Single Period,Unknown,No Burials,Kochavi and Beit-Arieh 1994,Chalcolithic (undifferentiated),548,67.32499695,29,1.092813134,291.0375061,139.083,2.27819,55.3905,24.6793
529,1121,ASI78-63,Tel Afeq,,193585,667995,34.93033809,32.10500055,,,Refugia,Coastal Plain,Samaria Hills,,Stratified,Unknown,No Burials,Kochavi and Beit-Arieh 1994,Chalcolithic (undifferentiated),548,67.29499817,25,3.028150797,248.7494965,136.241,2.3987,49.7099,23.066
530,1122,ASI78-65,Nahal Rabba,,194815,667695,34.94337718,32.10232272,,,Refugia,Coastal Plain,Samaria Hills,,Single Period,Unknown,No Burials,Kochavi and Beit-Arieh 1994,Chalcolithic (undifferentiated),547,67.20500183,34,0.674983978,54.46232224,88.545,2.2125,19.8033,22.9803
531,1124,ASI78-85,Petah Tiqwa,,191035,665995,34.903381,32.08690354,,,Refugia,Coastal Plain,Samaria Hills,,Surface,Unknown,Tomb,Kochavi and Beit-Arieh 1994,Chalcolithic (undifferentiated),559,67.20500183,38,1.480219245,237.9946136,0,0,0,0
532,1126,ASI78-174,Nahal Shillo,,196785,664096,34.96433287,32.06990861,,,Refugia,Coastal Plain,Samaria Hills,,Single Period,Unknown,No Burials,Kochavi and Beit-Arieh 1994,Chalcolithic (undifferentiated),559,66.96499634,86,9.996366501,315.6296082,103.722,3.72222,26.4791,27.9554
533,1129,ASI80-26,Ras es Summaq (M),,195586,658895,34.95176362,32.02298161,,,Refugia,Coastal Plain,Samaria Hills,,Surface,Unknown,Tomb,Gophna and Beit-Arieh  1997,Chalcolithic (undifferentiated),554,66.83000183,114,3.663787365,318.4682312,68.2657,1.75643,19.4392,22.5368
534,1130,ASI80-53,Nahal Bet 'Arif,,194586,657795,34.94120679,32.01304031,,,Refugia,Coastal Plain,Samaria Hills,,Surface,Unknown,Tomb,Gophna and Beit-Arieh  1997,Chalcolithic (undifferentiated),551,67.04000092,69,2.130716324,263.6598206,74.5594,1.88884,19.8449,22.6332
535,1131,ASI80-54,Shoham,,194786,657295,34.94333638,32.00853569,,,Refugia,Coastal Plain,Samaria Hills,,Stratified,Unknown,Tomb,Gophna and Beit-Arieh  1997,Chalcolithic (undifferentiated),557,66.875,76,6.894057751,279.7824097,69.5515,1.91896,18.4818,24.0205
536,1132,ASI80-56,Shoham,,194986,657095,34.94545815,32.00673643,1,250,Refugia,Coastal Plain,Samaria Hills,,Stratified,Unknown,No Burials,Gophna and Beit-Arieh  1997,Chalcolithic (undifferentiated),554,66.875,101,1.265067816,262.8749695,68.8965,1.92171,21.3611,22.1675
537,1135,ASI80-70,Khirbet Burnat (east),,196936,657495,34.96608631,32.01038408,0.1,25,Refugia,Judea,Samaria Hills,,Stratified,Agricultural,No Burials,Gophna and Beit-Arieh  1997,Chalcolithic (undifferentiated),561,66.6499939,127,8.527300835,230.9315338,77.14,2.46599,23.6815,26.3679
538,1136,ASI80-79,Shoham,,194986,655995,34.94548603,31.99681663,,,Refugia,Judea,Samaria Hills,,Single Period,Unknown,Tomb,Gophna and Beit-Arieh  1997,Chalcolithic (undifferentiated),549,66.86000061,95,3.499610662,325.954071,57.6696,1.49963,19.5544,20.0543
539,1137,ASI80-80,El Khirba (M),,195486,656895,34.95075478,32.00494352,,,Refugia,Coastal Plain,Samaria Hills,,Stratified,Agricultural,Tomb,Gophna and Beit-Arieh  1997,Chalcolithic (undifferentiated),556,66.79999542,104,4.762082577,223.6677856,69.1663,2.05184,22.7085,20.7248
540,1138,ASI80-91,Nahal Bet Arif',,193586,655495,34.93068439,31.99227654,,,Refugia,Coastal Plain,Samaria Hills,,Stratified,Unknown,Tomb,Gophna and Beit-Arieh  1997,Chalcolithic (undifferentiated),548,67.08499908,56,1.200168133,281.3099365,132.661,2.13824,47.4347,22.7007
541,1141,ASI80-125,Nahal Bet Arif',,194386,654895,34.93916528,31.98688371,,,Refugia,Judea,Samaria Hills,,Stratified,Unknown,Tomb,Gophna and Beit-Arieh  1997,Chalcolithic (undifferentiated),545,67.02500153,64,5.511516571,173.4801941,69.3613,1.53196,18.7926,22.1011
542,1143,ASI80-138,Nahal Nevallat,,198286,654496,34.98044012,31.98336504,,,Refugia,Judea,Samaria Hills,,Surface,Agricultural,Cist Tomb,Gophna and Beit-Arieh  1997,Chalcolithic (undifferentiated),542,66.45500183,121,8.023716927,147.699585,72.7204,1.85732,18.3322,24.6711
543,1149,ASI80-184,Lod,,190486,651495,34.89800121,31.95612954,,,Refugia,Coastal Plain,Samaria Hills,,Stratified,Industrial,Cist grave,Gophna and Beit-Arieh  1997,Chalcolithic (undifferentiated),551,66.97999573,61,0.674983978,305.5376892,63.2929,1.64638,18.6708,22.985
544,1150,ASI80-204,Khirbet edh Dhaheriyeh (S),,193976,650395,34.9349456,31.94629337,0.6,150,Refugia,Judea,Samaria Hills,,Stratified,Unknown,Cemetery,Gophna and Beit-Arieh  1997,Chalcolithic (undifferentiated),533,66.79999542,118,2.492208481,204.1455383,139.598,2.25929,34.5448,26.6596
545,1154,ASI82-107,Nahal Modi'im (East),,199906,649646,34.9976788,31.93965638,0.5,125,Refugia,Judea,Shephelah,,Surface,Unknown,No Burials,Shavit 2013,Chalcolithic (undifferentiated),516,66.19999695,155,6.104411125,80.41705322,5.14795,18.6164,10.0159,24.7864
546,1170,ASI82-539,Horbat Nekhes (Southwest/5),,195447,643695,34.95066935,31.88590399,0.1,25,Refugia,Judea,Shephelah,,Surface,Unknown,Tomb,Shavit 2013,Chalcolithic (undifferentiated),508,66.47000122,153,3.469719648,341.5650635,56.7096,1.4139,16.4016,29.3792
547,1172,ASI82-602,Bet 'Uziel (West),,190037,642435,34.89352681,31.87441416,0.1,25,Refugia,Coastal Plain,Shephelah,,Surface,Unknown,No Burials,Shavit 2013,Chalcolithic (undifferentiated),517,66.84500122,103,1.390200019,286.3895264,120.356,2.4065,47.4345,25.3552
548,1181,ASI82-694,Nahal Ayalon (North/3),,199467,641036,34.99321343,31.86200226,0.5,125,Refugia,Judea,Shephelah,,Surface,Unknown,No Burials,Shavit 2013,Chalcolithic (undifferentiated),480,66.30500793,187,2.373541832,187.5946503,4.49933,9.23218,2.88197,38.1266
549,1185,ASI82-701,Tel Gezer,,192487,640745,34.91946562,31.85923411,2,500,Refugia,Judea,Shephelah,,Stratified,Unknown,Tomb,Shavit 2013,Chalcolithic (undifferentiated),511,66.31999207,225,1.336035371,130.2363586,58.6756,1.2219,16.4887,25.8778
550,1187,ASI82-712,En Yarad (South/2),,193687,640445,34.93215326,31.85655643,1,250,Refugia,Judea,Shephelah,,Surface,Unknown,Cist grave,Shavit 2013,Chalcolithic (undifferentiated),504,66.34999847,171,2.927190542,352.3039551,0,12.5171,48.0872,39.6503
551,1190,ASI82-727,Nahal Nahshon (West/1),,195847,640175,34.95498265,31.85416831,0.3,75,Refugia,Judea,Shephelah,,Surface,Unknown,No Burials,Shavit 2013,Chalcolithic (undifferentiated),491,66.45500183,160,2.935563326,34.11447144,0,12.2076,47.1,43.0958
552,1191,ASI82-734,Nahal Ayalon (South/2),,199137,640585,34.98973582,31.8579292,0.3,75,Refugia,Judea,Shephelah,,Single Period,Unknown,No Burials,Shavit 2013,Chalcolithic (undifferentiated),478,66.33499908,162,2.245857,347.9052429,8.12,13.3753,10.9478,36.6066
553,1195,ASI83-42,el-Burj [117],,202087,645496,35.02081868,31.90226646,,,Refugia,Judea,Hill Country of Benjamin,,Surface,Agricultural,Tomb,Finklestein and Hizmi 1993,Chalcolithic (undifferentiated),503,65.67499542,297,5.484968185,183.2704926,74.0858,1.98039,16.0993,25.9289
554,1197,ASI83-63,Khirbet Harfush [137],,209337,642996,35.09748754,31.87980846,0.5,125,Refugia,Judea,Hill Country of Benjamin,,Stratified,Agricultural,Tomb,Finklestein and Hizmi 1993,Chalcolithic (undifferentiated),473,64.17500305,495,5.662769794,147.4074249,1.21545,56.4676,4.20506,74.1726
555,1214,ASI83/2-10,Beit?n [82],,223287,647947,35.24494307,31.92449621,,,Refugia,Judea,Hill Country of Benjamin,,Stratified,Unknown,No Burials,Finklestein et al. 1993,Chalcolithic (undifferentiated),495,61.08499908,881,5.653101921,255.5792236,0.7487,45.4869,0.904106,106.033
556,1221,ASI83/2-33,Tell en-Nasbeh [175],,220637,643297,35.21691631,31.88256728,2.5,625,Refugia,Judea,Hill Country of Benjamin,,Stratified,Unknown,Tomb,Finklestein et al. 1993,Chalcolithic (undifferentiated),480,61.37000275,819,8.76764679,217.7857361,1.59498,92.5897,1.77499,257.065
557,1245,ASI83/12-6,Khallat ed-Dinnabiya [327],,230687,644698,35.32315289,31.89514698,8,2000,Refugia,Judea,Hill Country of Benjamin,,Stratified,Unknown,Tomb,Goldfus and Golani 1993,Chalcolithic (undifferentiated),368,64.74499512,428,11.37482071,338.8504639,1.00818,74.9298,2.34613,97.8929
558,1254,ASI83/12-104,Sahl el-Midan [425],,239587,645698,35.41725187,31.90404243,,,Zone of Uncertainty,Judea,Hill Country of Benjamin,,Surface,Unknown,No Burials,Goldfus and Golani 1993,Chalcolithic (undifferentiated),242,72.44000244,-104,2.315897465,118.3007584,0.977979,77.3058,0.749391,58.9298
559,1257,ASI84-23,Nahal Lakhish,,168387,634793,34.66513208,31.80473398,,,Refugia,Coastal Plain,Southern Coastal Plain,,Surface,Unknown,No Burials,Berman et al. 2005,Chalcolithic (undifferentiated),484,67.55000305,25,0.866651475,95.19442749,0,5.05604,21.7487,27.2197
560,1258,ASI84-24,Nahal Lakhish,,169127,634143,34.67297993,31.79890515,,,Refugia,Coastal Plain,Southern Coastal Plain,,Surface,Unknown,No Burials,Berman et al. 2005,Chalcolithic (undifferentiated),480,67.53500366,18,1.349780679,125.5376816,0,4.91492,18.8786,30.0756
561,1260,ASI84-55,Dhahrat et Tuta,,167487,632933,34.65572732,31.78791995,0.3,75,Refugia,Coastal Plain,Southern Coastal Plain,,Surface,Agricultural,No Burials,Berman et al. 2005,Chalcolithic (undifferentiated),482,67.49000549,26,1.403414011,206.5650482,0,2.23649,28.2368,17.2817
562,1265,ASI84-94,Holot Ashdod,,165367,630973,34.63345315,31.77014634,0.4,100,Refugia,Coastal Plain,Southern Coastal Plain,,Surface,Unknown,No Burials,Berman et al. 2005,Chalcolithic (undifferentiated),483,67.60999298,33,1.649258971,295.3461609,0,6.76534,28.544,31.7823
563,1267,ASI84-107,Nahal Lakhish,,169158,630143,34.67351338,31.76283445,,,Refugia,Coastal Plain,Southern Coastal Plain,,Surface (main),Unknown,No Burials,Berman et al. 2005,Chalcolithic (undifferentiated),470,67.46000671,27,0.248138979,251.5650482,0,7.28019,18.4343,37.8576
564,1269,ASI85-8,Benaya (north),,175787,639044,34.74308507,31.84337676,,,Refugia,Coastal Plain,Southern Coastal Plain,,Surface,Unknown,Tomb,Barda and Zbenovich 2012,Chalcolithic (undifferentiated),508,67.38499451,40,1.446588039,102.5288086,148.568,1.79366,45.7439,26.2911
565,1272,ASI85-17,Horbat Fatuna (east),,176937,638194,34.75527126,31.83575489,,,Refugia,Coastal Plain,Southern Coastal Plain,,Surface,Unknown,No Burials,Barda and Zbenovich 2012,Chalcolithic (undifferentiated),506,67.36999512,44,1.885839581,135,70.8485,1.26877,16.3737,25.2755
566,1273,ASI85-19,Horbat Merar (west),,179267,638724,34.77986247,31.84061897,,,Refugia,Coastal Plain,Southern Coastal Plain,,Stratified,Unknown,Tomb,Barda and Zbenovich 2012,Chalcolithic (undifferentiated),502,67.27999878,34,0.710529923,276.3401794,130.043,2.18073,38.7121,28.5119
567,1275,ASI85-24,Nahal Soreq (south),,178487,637444,34.77167633,31.82904808,,,Refugia,Coastal Plain,Southern Coastal Plain,,Surface,Unknown,No Burials,Barda and Zbenovich 2012,Chalcolithic (undifferentiated),498,67.35500336,36,0.845074892,21.80140877,126.252,2.06648,53.2842,24.6001
568,1279,ASI85-39,Gedera (east),,179637,636494,34.78386239,31.82052161,,,Refugia,Coastal Plain,Southern Coastal Plain,,Surface,Unknown,No Burials,Barda and Zbenovich 2012,Chalcolithic (undifferentiated),498,67.23500061,51,2.670619488,40.23635864,70.1409,1.31214,18.3227,26.4326
569,1283,ASI85-69,Shetulim,,171307,630913,34.69615842,31.76987087,,,Refugia,Coastal Plain,Southern Coastal Plain,,Single Period,Unknown,No Burials,Barda and Zbenovich 2012,Chalcolithic (undifferentiated),469,67.38500214,31,0.49626863,161.5650482,0,7.37196,53.2921,35.7669
570,1287,ASI87-19,"Ashqelon, Afridar",,158338,620492,34.55991091,31.67527539,,,Refugia,Coastal Plain,Southern Coastal Plain,,Stratified,Unknown,No Burials,Berman and Barda 2005,Chalcolithic (undifferentiated),427,67.69999695,22,2.370952129,304.2156982,0,2.2723,7.10763,1.70466
571,1288,ASI87-20,"Ashqelon, Afridar",,158388,620592,34.56043194,31.67617985,,,Refugia,Coastal Plain,Southern Coastal Plain,,Stratified,Unknown,No Burials,Berman and Barda 2005,Chalcolithic (undifferentiated),427,67.69999695,24,2.039330482,292.619873,0,2.2723,7.10763,1.70466
572,1290,ASI88-24,Tel Ashdod,,167738,629593,34.65855425,31.7578112,8,2000,Refugia,Coastal Plain,Southern Coastal Plain,,Stratified,Agricultural,Tomb,Berman and Barda 2005,Chalcolithic (undifferentiated),472,67.43000031,49,0.470802963,0,0,5.27394,16.7093,34.6071
573,1296,ASI88-55,Holot Ashdod,,163638,627693,34.61538941,31.7404843,4,1000,Refugia,Coastal Plain,Southern Coastal Plain,,Stratified,Unknown,Tomb,Berman and Barda 2005,Chalcolithic (undifferentiated),455,67.69999695,19,1.829571962,239.0362396,0,4.38874,22.9611,25.7716
574,1308,ASI91-1,Tel Ashqelon,,156888,618992,34.54471633,31.66167029,,,Refugia,Coastal Plain,Southern Coastal Plain,,Stratified,Unknown,Tomb,Berman et al. 2004,Chalcolithic (undifferentiated),417,67.72999573,17,4.497072697,262.9987183,0,3.89915,0,4.02008
575,1311,ASI91-36,Holot Ashqelon,,159288,617392,34.57011861,31.64736973,0.015,3.75,Refugia,Coastal Plain,Southern Coastal Plain,,Surface,Unknown,No Burials,Berman et al. 2004,Chalcolithic (undifferentiated),422,67.47499847,32,0.565829039,33.69006729,0,6.43586,15.5826,40.8566
576,1312,ASI91-38,Holot Ashqelon,,156688,616142,34.54278972,31.6359581,0.2,50,Refugia,Coastal Plain,Southern Coastal Plain,,Surface,Unknown,No Burials,Berman et al. 2004,Chalcolithic (undifferentiated),420,67.50500488,60,1.480219245,237.9946136,0,9.39904,20.4438,36.4461
577,1313,ASI91-51,Saknat Muhammad Mahmud (southwest),,154088,615142,34.51545097,31.62679518,0.3,75,Refugia,Coastal Plain,Southern Coastal Plain,,Surface,Unknown,No Burials,Berman et al. 2004,Chalcolithic (undifferentiated),,,5,1.819461346,262.5686035,No Data,No Data,No Data,No Data
578,1314,ASI91-56,Holot Ashqelon,,154928,615842,34.52425816,31.63315523,,,Refugia,Coastal Plain,Southern Coastal Plain,,Surface,Unknown,No Burials,Berman et al. 2004,Chalcolithic (undifferentiated),397,67.81999969,4,0.992462814,71.56504822,0,0.925167,6.02494,2.21887
579,1315,ASI91-59,Holot Ashqelon,,155188,615092,34.52704761,31.6264063,0.1,25,Refugia,Coastal Plain,Southern Coastal Plain,,Surface,Unknown,No Burials,Berman et al. 2004,Chalcolithic (undifferentiated),405,67.69999695,32,2.531330585,343.810791,0,1.29079,5.22292,3.1208
580,1316,ASI91-70,Holot Ashqelon,,157788,615492,34.55442506,31.63015593,,,Refugia,Coastal Plain,Southern Coastal Plain,,Surface,Unknown,No Burials,Berman et al. 2004,Chalcolithic (undifferentiated),421,67.61000061,22,1.638032794,196.6992493,0,8.67646,15.2251,44.465
581,1317,ASI91-80,Holot Ashqelon,,159738,615593,34.57497174,31.63116973,0.1,25,Refugia,Coastal Plain,Southern Coastal Plain,,Surface,Unknown,No Burials,Berman et al. 2004,Chalcolithic (undifferentiated),423,67.33999634,53,1.142373443,285.9454041,0,10.4145,13.6387,40.9898
582,1318,ASI91-81,Ard el Mihjar (M),,153589,614142,34.51025875,31.61774873,7,1750,Refugia,Coastal Plain,Southern Coastal Plain,,Surface,Unknown,No Burials,Berman et al. 2004,Chalcolithic (undifferentiated),392,67.84999847,3,1.240508795,71.56504822,0,0,6.62361,3.21551
583,1319,ASI91-86,Holot Ashqelon,,154788,614892,34.522845,31.62458028,0.3,75,Refugia,Coastal Plain,Southern Coastal Plain,,Surface,Unknown,No Burials,Berman et al. 2004,Chalcolithic (undifferentiated),403,67.72999573,23,1.545283794,336.0375061,0,4.57438,11.4356,20.4846
584,1320,ASI91-109,Holot Ziqim,,154289,613642,34.51766873,31.61327962,0.25,62.5,Refugia,Coastal Plain,Southern Coastal Plain,,Stratified,Unknown,No Burials,Berman et al. 2004,Chalcolithic (undifferentiated),401,67.68499756,23,2.315897465,241.6992493,0,2.31033,5.7307,4.30549
585,1321,ASI91-110,Holot Ziqim,,154639,613892,34.52134054,31.61555389,0.3,75,Refugia,Coastal Plain,Southern Coastal Plain,,Surface,Unknown,No Burials,Berman et al. 2004,Chalcolithic (undifferentiated),401,67.68499756,28,3.793510199,308.2901611,0,2.31033,5.7307,4.30549
586,1322,ASI91-120,Nahal Shiqma,,153389,612192,34.50828193,31.6001522,,,Refugia,Coastal Plain,Southern Coastal Plain,,Stratified,Unknown,No Burials,Berman et al. 2004,Chalcolithic (undifferentiated),382,67.86499786,20,4.552403927,3.945186138,0,3.02471,7.35671,3.8223
587,1324,ASI91-127,Hof Shiqma,,151639,611142,34.48991557,31.59058153,1,250,Refugia,Coastal Plain,Southern Coastal Plain,,Surface,Unknown,No Burials,Berman et al. 2004,Chalcolithic (undifferentiated),377,67.87999725,6,0.49626863,18.43494797,11.6118,2.91415,0,12.0936
588,1325,ASI91-129,Hof Shiqma,,151939,611742,34.49303503,31.59600995,0.003,0.75,Refugia,Coastal Plain,Southern Coastal Plain,,Surface,Unknown,No Burials,Berman et al. 2004,Chalcolithic (undifferentiated),379,67.87999725,8,1.158421874,298.3007507,0,1.22564,5.01365,3.33052
589,1326,ASI91-132,Nahal Shiqma (southwest),,152189,611592,34.49567925,31.59467189,0.2,50,Refugia,Coastal Plain,Southern Coastal Plain,,Surface,Unknown,No Burials,Berman et al. 2004,Chalcolithic (undifferentiated),379,67.87999725,8,0.350919306,63.43494797,0,1.22564,5.01365,3.33052
590,1327,ASI91-133,Tell esh Shuqaf (M) (southeast),,152269,611842,34.49650506,31.59693106,0.5,125,Refugia,Coastal Plain,Southern Coastal Plain,,Surface,Unknown,No Burials,Berman et al. 2004,Chalcolithic (undifferentiated),379,67.87999725,6,0.992462814,18.43494797,0,1.22564,5.01365,3.33052
591,1330,ASI91-137,Nahal Shiqma (south),,153289,611392,34.50728203,31.59293205,0.4,100,Refugia,Coastal Plain,Southern Coastal Plain,,Surface,Unknown,No Burials,Berman et al. 2004,Chalcolithic (undifferentiated),385,67.72999573,39,1.908525109,279.4623108,0,4.36867,10.8735,20.3349
592,1331,ASI91-138,Nahal Shiqma (south),,153439,611542,34.50885232,31.59429337,0.2,50,Refugia,Coastal Plain,Southern Coastal Plain,,Surface,Unknown,No Burials,Berman et al. 2004,Chalcolithic (undifferentiated),390,67.68499756,42,1.667801023,311.1859131,0,1.17089,72.1705,40.1829
593,1332,ASI91-139,Nahal Shiqma (south),,153489,611742,34.50936571,31.59609983,0.05,12.5,Refugia,Coastal Plain,Southern Coastal Plain,,Surface,Unknown,No Burials,Berman et al. 2004,Chalcolithic (undifferentiated),390,67.68499756,36,2.307924986,9.782406807,0,1.17089,72.1705,40.1829
594,1333,ASI91-140,Nahal Shiqma,,153509,611942,34.50956304,31.59790458,0.05,12.5,Refugia,Coastal Plain,Southern Coastal Plain,,Surface,Unknown,No Burials,Berman et al. 2004,Chalcolithic (undifferentiated),390,67.68499756,26,1.509030938,351.0273743,0,1.17089,72.1705,40.1829
595,1334,ASI91-141,Nahal Shiqma (south),,153589,611192,34.51045607,31.59114566,0.4,100,Refugia,Coastal Plain,Southern Coastal Plain,,Surface,Unknown,No Burials,Berman et al. 2004,Chalcolithic (undifferentiated),400,67.63999939,46,1.349780679,234.4623261,0,9.38699,20.4038,45.6381
596,1335,ASI91-142,Nahal Shiqma (south),,153639,611412,34.51096815,31.59313248,0.5,125,Refugia,Coastal Plain,Southern Coastal Plain,,Surface,Unknown,No Burials,Berman et al. 2004,Chalcolithic (undifferentiated),390,67.68499756,45,2.119146824,2.121096373,0,1.17089,72.1705,40.1829
597,1336,ASI91-143,Ma'agar Shiqma (south),,153849,611892,34.51314866,31.59747311,0.05,12.5,Refugia,Coastal Plain,Southern Coastal Plain,,Surface,Unknown,No Burials,Berman et al. 2004,Chalcolithic (undifferentiated),390,67.68499756,29,3.84638834,3.503531694,0,1.17089,72.1705,40.1829
598,1337,ASI91-144,Ma'agar Shiqma (south),,153939,611742,34.51410689,31.59612554,0.1,25,Refugia,Coastal Plain,Southern Coastal Plain,,Surface,Unknown,No Burials,Berman et al. 2004,Chalcolithic (undifferentiated),390,67.68499756,34,2.572242498,37.56859207,0,1.17089,72.1705,40.1829
599,1338,ASI91-147,Ma'agar Shiqma (south),,154089,611072,34.51573173,31.59009199,1,250,Refugia,Coastal Plain,Southern Coastal Plain,,Surface,Unknown,No Burials,Berman et al. 2004,Chalcolithic (undifferentiated),400,67.63999939,30,2.985303164,150.0684814,0,9.38699,20.4038,45.6381
600,1339,ASI91-148,Ma'agar Shiqma (south),,154149,611292,34.51634927,31.59207936,0.1,25,Refugia,Coastal Plain,Southern Coastal Plain,,Surface,Unknown,No Burials,Berman et al. 2004,Chalcolithic (undifferentiated),390,67.68499756,37,2.110427856,131.9872131,0,1.17089,72.1705,40.1829
601,1340,ASI91-149,Ma'agar Shiqma (south),,154539,611392,34.52045153,31.59300323,0.25,62.5,Refugia,Coastal Plain,Southern Coastal Plain,,Surface,Unknown,No Burials,Berman et al. 2004,Chalcolithic (undifferentiated),387,67.72999573,16,2.514289856,93.57633209,0,2.50038,15.4222,39.5625
602,1341,ASI91-150,Ma'agar Shiqma (south),,154569,611592,34.52075443,31.59480852,1.2,300,Refugia,Coastal Plain,Southern Coastal Plain,,Surface,Unknown,No Burials,Berman et al. 2004,Chalcolithic (undifferentiated),387,67.72999573,11,1.999760509,154.440033,0,2.50038,15.4222,39.5625
603,1342,ASI91-151,Ma'agar Shiqma (south),,154959,611072,34.52489744,31.59014106,,,Refugia,Coastal Plain,Southern Coastal Plain,,Surface,Unknown,No Burials,Berman et al. 2004,Chalcolithic (undifferentiated),397,67.69999695,25,2.245857,347.9052429,0,9.5059,18.2134,46.0699
604,1343,ASI91-152,Ma'agar Shiqma (south),,155069,611692,34.52601581,31.59573841,1.5,375,Refugia,Coastal Plain,Southern Coastal Plain,,Surface,Unknown,No Burials,Berman et al. 2004,Chalcolithic (undifferentiated),389,67.68499756,16,1.557180166,319.0856018,0,3.22872,14.5609,40.8073
605,1344,ASI91-153,Ma'agar Shiqma (south),,155189,611442,34.52729643,31.5934906,2,500,Refugia,Coastal Plain,Southern Coastal Plain,,Surface,Unknown,No Burials,Berman et al. 2004,Chalcolithic (undifferentiated),389,67.68499756,17,0.470802963,90,0,3.22872,14.5609,40.8073
606,1345,ASI91-159,Holot Karmiyya,,156689,611942,34.54306814,31.59808241,,,Refugia,Coastal Plain,Southern Coastal Plain,,Surface,Unknown,No Burials,Berman et al. 2004,Chalcolithic (undifferentiated),389,67.61000061,21,0.248138979,288.4349365,0,4.00504,17.5123,35.0692
607,1346,ASI91-167,Elé Sinai (northwest),,152289,610612,34.49679962,31.58584011,0.05,12.5,Refugia,Coastal Plain,Southern Coastal Plain,,Surface,Unknown,No Burials,Berman et al. 2004,Chalcolithic (undifferentiated),389,67.74499512,23,2.072220564,330.5241089,14.7287,0.45642,0,85.6876
608,1347,ASI91-169,Elé Sinai,,152689,610192,34.50104198,31.58207581,0.1,25,Refugia,Coastal Plain,Southern Coastal Plain,,Surface,Unknown,No Burials,Berman et al. 2004,Chalcolithic (undifferentiated),400,67.65499878,42,2.283839226,254.0546112,13.2968,0,0,212.742
609,1348,ASI91-170,Elé Sinai (south),,152709,609992,34.50126621,31.58027337,0.05,12.5,Refugia,Coastal Plain,Southern Coastal Plain,,Surface,Unknown,No Burials,Berman et al. 2004,Chalcolithic (undifferentiated),400,67.65499878,38,0.554841757,45,13.2968,0,0,212.742
610,1349,ASI91-173,Elé Sinai (east),,153269,610242,34.50714855,31.58256019,0.05,12.5,Refugia,Coastal Plain,Southern Coastal Plain,,Surface,Unknown,No Burials,Berman et al. 2004,Chalcolithic (undifferentiated),400,67.65499878,31,1.689782262,201.8014069,13.2968,0,0,212.742
611,1350,ASI91-174,Elé Sinai (northeast),,153329,610672,34.50775177,31.58644139,0.05,12.5,Refugia,Coastal Plain,Southern Coastal Plain,,Surface (main),Unknown,No Burials,Berman et al. 2004,Chalcolithic (undifferentiated),400,67.65499878,51,1.44232893,67.61986542,0,8.65233,24.6912,46.9144
612,1351,ASI91-176,Ma'agar Shiqma (south),,153729,610842,34.51195437,31.58799735,0.05,12.5,Refugia,Coastal Plain,Southern Coastal Plain,,Surface,Unknown,No Burials,Berman et al. 2004,Chalcolithic (undifferentiated),400,67.63999939,43,3.400143623,154.0256042,0,9.38699,20.4038,45.6381
613,1352,ASI91-177,Ma'agar Shiqma (south),,153809,610292,34.51283381,31.583042,1.5,375,Refugia,Coastal Plain,Southern Coastal Plain,,Surface,Unknown,No Burials,Berman et al. 2004,Chalcolithic (undifferentiated),399,67.69999695,21,4.086996555,102.1714554,4.10004,50.4588,0,194.324
614,1353,ASI91-178,Netiv Ha-'Asara (northwest),,154239,610072,34.51737819,31.58108247,0.05,12.5,Refugia,Coastal Plain,Southern Coastal Plain,,Surface,Unknown,No Burials,Berman et al. 2004,Chalcolithic (undifferentiated),402,67.68499756,21,0.350919306,206.5650482,0,10.4926,15.3609,46.5894
